learning_rate,n_estimators,max_depth,F1
0.36,84,5,0.809
0.6689,42,14,0.812
0.9617,96,10,0.789
0.8082,41.101571818704365,13.550785853926902,0.802
0.7472,41.149776034868424,14.606542184939096,0.809
0.0,41.290278459230265,14.022749255766893,0.560
1.0,42.121087327943464,15.027296172196396,0.799
0.0164,42.0578741382888,15.08511197811668,0.806
0.5465,41.39067445949762,15.76659326496149,0.809
0.4692,42.45891268593154,16.046379469655054,0.799
0.4149,43.12263929291774,14.987857273452576,0.807
1.0,43.09821698110688,14.041562174989942,0.799
0.0,42.926911630508314,13.988400657901968,0.560
1.0,42.210788129132844,12.962071193405835,0.799
1.0,43.40356923748112,15.775864064503562,0.799
0.2655,41.524490329683815,12.601001598451095,0.814
1.0,40.99378006053086,12.401871740512112,0.794
0.9464,41.95161417688954,11.81268462760303,0.794
0.2119,42.72149423840594,12.31709176110205,0.802
1.0,43.41384461945532,12.737050320488745,0.799
1.0,43.11609214930961,11.659687886363104,0.799
1.0,44.10732785439863,14.711846706207089,0.799
0.5844,44.208772295688924,13.5895197940291,0.805
0.1731,43.9932226767895,12.26981073905138,0.807
1.0,44.61012257144295,12.522552100151476,0.799
0.9286,44.24865019348407,11.462043044453548,0.797
0.0186,43.36339505916014,11.207600167285692,0.811
0.0,42.127591580583825,11.278098060609565,0.560
0.0733,44.082601275033234,15.54258404196916,0.822
0.0,44.539123290863245,14.528643813863653,0.560
0.0,43.4114779810445,16.355791035935972,0.560
0.9743,44.62991217133596,15.808050461080468,0.794
0.8958,43.388054631033555,10.507882833896701,0.792
0.1314,44.34167998836736,10.643362335325639,0.809
0.0426,45.00451178115087,11.688722033368819,0.806
0.0153,45.08732165844864,12.892501791562184,0.808
1.0,45.28647015828461,13.682920720993174,0.799
0.8014,45.77436932687694,12.44462229961008,0.791
0.9478,45.40350977745614,11.103870932989201,0.798
1.0,44.60252529939751,10.193151173727685,0.799
1.0,45.377498759511404,14.914419714571903,0.799
0.2104,46.07274073918217,13.724917484989014,0.799
0.0877,45.50839373074235,10.425181332127067,0.802
0.0,46.189984310262446,11.593637843762455,0.560
0.2111,43.93254306022582,9.573730537649082,0.804
0.2515,45.03650690594111,9.394402847853618,0.809
1.0,45.8061988473936,9.869768986886617,0.802
0.0871,45.42511162916205,15.617594393960017,0.807
0.3272,46.31397402917128,14.877333809269022,0.812
1.0,46.53860722290205,14.046655348637335,0.804
1.0,46.09793996225694,15.830845813784139,0.804
1.0,44.41961932855503,8.987790632383817,0.802
0.4771,45.26121472439117,16.674581394324523,0.812
