learning_rate,n_estimators,max_depth,F1
0.6338,81,12,0.798
0.2596,71,13,0.795
0.1993,29,10,0.811
0.2329,27.986279518765695,10.00000000451732,0.809
0.2935,28.498833015259265,10.916339724515343,0.806
1.0,28.528387070459836,10.235256265963928,0.798
0.7829,29.504369364934313,10.817268540234624,0.798
1.0,29.666360937269705,9.725910035796867,0.793
0.7859,28.62729319135083,9.083635143580361,0.801
0.1416,29.54042466188141,8.904073550608063,0.809
0.0118,30.192185571936914,9.996143216772099,0.790
0.593,30.577305100304642,9.05838650254328,0.795
0.9672,30.7549338163428,10.235494467843598,0.798
1.0,29.671674251245502,8.402025189097756,0.793
0.1915,30.462704498931956,11.141022858423653,0.811
0.0125,31.33991883204503,10.285248504289035,0.790
0.7585,31.43374202366094,11.18187291262057,0.790
1.0,30.39722839647099,11.715113278288735,0.804
0.1972,29.43469836296743,11.861412418848188,0.809
1.0,28.81358680063478,11.786818367642939,0.798
0.0889,30.91830145350005,12.198683569012069,0.811
0.7195,29.929191676497375,12.75233518570779,0.795
1.0,31.175200095432007,12.624207538744958,0.793
0.0,31.98978935390822,11.76341639116248,0.558
0.9931,27.604046623955615,11.042264518054642,0.801
0.2432,27.957984113601317,12.016294800060903,0.809
0.0,27.309263959023,11.057060411660538,0.558
0.391,28.748207041436295,12.860310805861147,0.806
1.0,27.816134736045456,12.60902413084581,0.798
0.0802,30.693461284313145,13.356127540360728,0.809
1.0,30.443667344131573,13.774539379912662,0.804
0.1758,29.598710154809805,13.806559655846655,0.811
1.0,29.01912890048792,13.70229233076937,0.793
0.2703,27.9845183177973,13.69143826830091,0.803
0.065,27.180060755046803,12.887485542139615,0.798
0.8811,26.817899522152945,12.068976756451915,0.787
1.0,27.006495839614125,13.472167766946344,0.798
1.0,27.92611954922581,14.442021215815371,0.798
0.4762,28.949855882523064,14.76367655724538,0.806
0.425,30.20787876075073,14.753581126268323,0.792
0.1635,27.020383061638192,14.332542103343744,0.809
0.2625,26.131471596953293,13.387166325728066,0.809
0.0,27.970518257944605,14.928298150002956,0.558
0.9832,26.25453979045661,14.387643837951256,0.793
0.5687,31.51159386524048,13.98704792283451,0.796
0.1282,31.818811149943254,13.077421339365184,0.811
1.0,25.87215043802994,12.808378078334178,0.785
0.0,26.072246274964535,12.235809597808872,0.558
0.9044,31.793989265417625,9.69587422102052,0.790
0.0,31.545549324346574,9.09842464706612,0.558
1.0,29.627326229151706,14.496169626784457,0.793
1.0,27.316841508888064,9.726121090321524,0.798
0.1444,27.675967881775296,8.832979236810742,0.809
