learning_rate,n_estimators,max_depth,F1,Precision,Recall
0.417,22,13,0.543,0.543,0.543
0.0001,85,10,0.610,0.610,0.610
0.1468,26,6,0.552,0.552,0.552
0.0303,85.38553732035373,8.843388839152345,0.581,0.581,0.581
0.108,86.22311151229508,9.811652570125776,0.543,0.543,0.543
1.0,85.35826965881712,9.547180333086867,0.562,0.562,0.562
0.4753,84.14597777331704,9.128042901657192,0.543,0.543,0.543
1.0,84.25040550663806,10.445706802150088,0.571,0.571,0.571
0.7997,85.54348774751774,10.942627296029327,0.562,0.562,0.562
0.0,84.4852163583995,11.31988239166234,0.095,0.095,0.095
1.0,84.90443015720464,8.053988251723457,0.571,0.571,0.571
0.9562,86.29815184281026,8.394432609877741,0.562,0.562,0.562
1.0,86.87558843599786,10.393569468984062,0.571,0.571,0.571
0.7612,87.41639315203437,9.182792794233766,0.562,0.562,0.562
0.0382,85.75965939514846,7.461697117389025,0.562,0.562,0.562
0.0,86.98921292279238,8.179885199164447,0.095,0.095,0.095
0.0,84.38355496246496,7.647644431012175,0.095,0.095,0.095
0.0,87.70790450061644,10.354641970192976,0.095,0.095,0.095
1.0,85.85001558156854,6.9031773054895815,0.552,0.552,0.552
1.0,86.46488887515596,9.46744630111128,0.562,0.562,0.562
1.0,83.02143398997222,9.799983811585367,0.571,0.571,0.571
0.0,83.4282482636539,10.03540170093746,0.095,0.095,0.095
1.0,82.969482248773,8.534305921606157,0.571,0.571,0.571
1.0,81.79245951230075,9.154830131410078,0.571,0.571,0.571
1.0,81.73985703404037,7.829523489798193,0.543,0.543,0.543
0.0,82.07945307649227,8.500091348087144,0.095,0.095,0.095
1.0,80.52031650722459,8.507934167306404,0.571,0.571,0.571
1.0,80.59888569246117,9.881836227531803,0.562,0.562,0.562
1.0,81.76514827611622,10.599080577175576,0.571,0.571,0.571
1.0,80.57575258326611,11.30430110246313,0.571,0.571,0.571
0.0,80.90353651519025,10.610814323575141,0.095,0.095,0.095
1.0,81.75759375671687,12.008347047148494,0.571,0.571,0.571
1.0,82.88657991631611,11.358374159319606,0.571,0.571,0.571
